War,Start Date,End Date,Combat,Other,Dead,Wounded,Dead & Wounded,Population at start
Civil War,1861,1865,214938,500000,750000,,,31443000
World War II,1941,1945,291557,113842,405399,670846,1076245,133402000
World War I,1917,1918,53402,63114,116516,204002,320518,103268000
Vietnam War,1955,1975,47424,10785,58209,153303,211454,179323175
Korean War,1950,1953,33686,2830,36516,92134,128650,151325000
American Revolutionary War,1775,1783,8000,,25000,25000,50000,2500000
War of 1812,1812,1815,2260,12740,15000,4505,20000,8000000
Mexican-American War,1846,1848,1733,11550,13283,4152,17435,21406000
Iraq War,2003,2011,3527,961,4488,32222,36710,294043000
Philippine-American War,1898,1913,1020,3176,4196,2930,7126,72129001
Spanish-American War,1898,1898,385,2061,2446,1622,4068,72129001
Afghanistan War,2001,2015,1742,471,2229,18675,20904,294043000
